" Send auto-generated password",发送自动产生的密码
"Apply the rule only if the following conditions are met (leave blank for all products).",仅仅符合下面的条件才应用该规则（对于所有产品留空）。
"Apply the rule only to cart items matching the following conditions (leave blank for all items).",仅应用规则到匹配下列条件的购物车条目（为所有条目留空）
"Are you sure that you want to delete this template?",您是否确认要删除该模板？
"Are you sure that you want to strip tags?",您是否确认要取消标签？
"Are you sure you want to continue?",您确定要继续吗？
"Are you sure you want to delete this file?",您确定要删除该文件吗？
"Are you sure you want to delete this folder?",您确定要删除该目录吗？
"Are you sure you want to do this?",您是否确认要这样做？
"Are you sure you want to proceed?",你是否确定要继续？
"As low as:",低至：
Assigned,已分配
Attributes,属性
Average,平均订单量
"Average Orders",平均订单
Back,返回
"Back to Login",返回到登录界面
Backup,备份
"Backup Name",备份名称
"Backup options",备份选项
Backups,备份
"Base currency",基本汇率
Bcc,Bcc
"Best Sellers Report",最好的卖家报表
Bestsellers,最佳销量
"Billing Address",账单地址
"Billing Address: ",账单地址：
"Billing Agreement",记账协议
"Billing Agreements",记账协议
"Block Information",块信息
Blocks,块
"Both IPN and PDT",IPN和PDT
"Browse Files...",浏览文件...
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.",与动态价格的捆绑不能包含自定义的选项。选项将无法保存。
CMS,CMS
"CMS page:",CMS页：
CSV,CSV
"Cache Control",缓存控制
"Cache Management",缓存管理
Cancel,取消
"Cannot add new comment.",无法添加新评论。
"Cannot add tracking number.",无法追踪编号。
"Cannot create an invoice without products.",无法在没有产品时创建发票。
"Cannot create credit memo for the order.",无法为该订单创建信用记录。
"Cannot delete tracking number.",无法删除追踪编号。
"Cannot do shipment for the order separately from invoice.",无法将产品与发票分开发送。
"Cannot do shipment for the order.",无法对该订单发货。
"Cannot initialize shipment for adding tracking number.",无法初始化订单以添加追踪编号。
"Cannot initialize shipment for delete tracking number.",无法初始化发货以删除追踪编号。
"Cannot load track with retrieving identifier.",无法用获取的标识符加载追踪。
"Cannot retrieve tracking number detail.",无法获取追踪编号详情。
"Cannot save shipment.",无法保存运送。
"Cannot save the credit memo.",无法保存信用记录。
"Cannot send shipment information.",无法发送运行信息。
"Cannot update item quantity.",无法更新商品数量。
"Cannot update the item's quantity.",无法更新商品的数量。
"Cart Price Rules",购物车价格规则
Catalog,产品目录
"Catalog Price Rules",产品目录价格规则
"Catalog Rewrites",产品目录重写
Categories,分类
Category:,分类：
"Child Transactions",子交易
"Choose Store View:",选择店铺视图：
"Chosen category does not associated with the chosen store.",选择和店铺没有关联的分类。
"Chosen cms page does not associated with any website.",选择了和任何站点没有关联的CMS页。
"Chosen cms page does not associated with the chosen store.",选择没有和店铺关联的CMS页。
"Chosen product does not associated with the chosen store or category.",选择和店铺或者分类没有关联的产品。
Clear,清空
Close,关闭
Communications,通讯
Complete,完成
Configuration,配置
"Confirm New Password",确认新密码
"Confirmed email:",确认邮件：
"Connect Manager",连接接管理
Continue,继续
"Convert to Plain Text",转换为纯文本
"Cookie (unsafe)",Cookie（不安全）
Country,国家
"Coupon Qty",优惠券数量
Coupons,优惠券
"Coupons Report",优惠券报表
Create,创建
"Create DB Backup",创建DB备份
"Create URL Rewrite:",创建URL重写：
"Created At",创建于
"Credit Memo History",信用记录历史
"Credit Memo Totals",信用记录总数
"Credit Memos",信用记录
"Credit memo #%1 comment added","信用记录 #%1 评论已添加"
"Credit memo #%1 created","信用记录 #%1 已创建"
"Credit memo's total must be positive.",信用记录的总数必须为正数。
Currency,币种
"Currency ""%1"" is used as %2 in %3.","货币 ""%1"" 被用作 %3 中的 %2。"
"Currency Setup Section",币种设置区域
"Current Configuration Scope:",当前配置范围：
"Current Month",当前月份
Custom,自定义
"Custom Variable ""%1""","自定义变量 ""%1"""
"Custom Variables",自定义变量
Customer,顾客姓名
"Customer First Name",顾客名字
"Customer Group:",顾客组：
"Customer Groups",顾客组
"Customer Last Name",顾客姓氏
"Customer Reviews",顾客评论
"Customer Reviews Report",顾客评论报表
"Customer Shopping Carts",顾客购物车
"Customer will receive an email with a link to reset password.",顾客将会收到一封带有重置密码链接的邮件。
"Customer with the same email already exists.",使用相同邮件地址的顾客已存在。
Customers,顾客
"Customers Now Online",当前在线顾客
"Customers by Number of Orders",按订单数统计的顾客
"Customers by Orders Total",按订单数量排列顾客
"Customers that have wish list: %1%","有收藏清单的顾客： %1%"
Dashboard,仪表板
"Data Transfer",数据传输器
Database,数据库
Date,日期
"Date selector",日期选择器
Day,天
"Days in Wish List",收藏清单里的天数
"Default Billing Address",默认账单地址
"Default Config",默认配置
"Default Values",默认值
"Default display currency ""%1"" is not available in allowed currencies.","默认显示的币种 ""%1"" 不属于允许使用的币种。"
"Default scope",默认范围
Delete,删除
"Delete %1","删除 %1"
"Delete File",删除文件
"Delete Image",删除图像
"Delete Role",删除角色
"Delete Store",删除店铺
"Delete Store View",删除店铺视图
"Delete Template",删除模板
"Delete User",删除用户
"Delete Web Site",删除站点
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",删除%1不会删除与%1关联的信息（如分类、产品等）。但是%1将不可恢复。所以建议你在删除%1之前创建数据库备份。
Description,描述
Design,设计
"Design Section",设计区域
Details,详情
"Developer Section",开发人员区域
Disable,禁用
Disabled,已禁用
"Discount Qty Step (Buy X)",折扣数量步骤（买X）
"Display default currency",显示默认币种
Download,下载
Downloads,下载
"Downloads Report",下载报表
Edit,编辑
"Edit Customer Group ""%1""","编辑顾客组：""%1"""
"Edit Design Change",编辑设计变动
"Edit Email Template",编辑邮件模板
"Edit Order",编辑订单
"Edit Queue",编辑队列
"Edit Review",编辑评论
"Edit Role",编辑角色
"Edit Store Design Change",编辑店铺设计
"Edit Store View",编辑店铺视图
"Edit System Template",编辑系统模板
"Edit Template",编辑模板
"Edit URL Rewrite",编辑URL重写
"Edit URL Rewrite for CMS page",给CMS页编辑重写URL
"Edit URL Rewrite for a Category",给分类编辑重写URL
"Edit URL Rewrite for a Product",给产品编辑重写URL
"Edit User",编辑用户
"Edit Web Site",编辑站点
Elements,元素
Email,电子邮件
"Email Address:",电子邮件地址：
"Email Preview",邮件预览
"Email to a Friend",给朋友发邮件
Email:,电子邮件：
Enable,启用
Enabled,已启用
"End Date",结束日期
"Entity Attributes",编辑属性
"Entity Type",实体类型
Error,错误
"Error Code",错误代码
"Error Text",错误文本
"Excel XML","Excel XML"
"Excl. Tax",不含税
"Exclude media folder from backup",从备份中排除媒体文件夹
Export,导出
"Export CSV",导出CSV
"Export to:",导出到：
"FTP Host","FTP 主机"
"FTP Login","FTP 登录"
"FTP Password",FTP密码
"FTP credentials","FTP 凭据"
"Failed to load template. See error log for details.",不能加载模板，打开错误日志查看详细描述。
File,文件
"File System",文件系统
"File extension not known or unsupported type.",未知的文件扩展名或者不支持的文件类型。
"First Invoice Created Date",第一张发票的创建日期
"First Name",名字
Fixed,固定
"Flush Catalog Images Cache",清除产品目录图像缓存
"Flush JavaScript/CSS Cache",清除JavaScript/CSS缓存
"For CMS page",给CMS页
"For category",分类
"For product",产品
"Forgot your password?",忘记您的密码？
"Forgot your user name or password?",忘记了您的用户名或密码？
From,来自
Fulfilled,履行的
GLOBAL,全局
Gb,Gb
"General Information",常规信息
"General Section",常规区域
"Get help for this page",获得有关本页面的帮助
"Global Attribute",全局属性
"Global Search",全局搜索
"Go Today",转到今天
"Grand Total",总计
"Grid (default) / List",网格（默认）/列表
"Grid Only",仅网格
Guest,访客
HTML,HTML
"HTTP (unsecure)",HTTP（不安全）
"HTTPS (SSL)",HTTPS（SSL）
"Helper arguments should not be used in custom layout updates.",Helper参数不应该被使用在定制的布局更新里。
Hits,提示
Home,主页
Hour,时
ID,ID
"ID Path",ID路径
"IP Address",IP地址
"IPN (Instant Payment Notification) Only",仅IPN（即时支付通知）
"If there is an account associated with %1 you will receive an email with a link to reset your password.","如果有关联给 %1 的账户，你将收到一封包含重设密码链接的电子邮件。"
"If you continue to receive this message, please contact the store owner.",如果您一直收到该消息，请联系店主。
"Images (%1)",图片：（%1）
"Images (.gif, .jpg, .png)",图像（。gif、。jpg、。png）
"Images Cache",图像缓存
Import,导入
"Import Service",导入服务
"Import and Export Tax Rates",导入和导出税率
Import/Export,导入/导出
"Important: ",重要：
Inactive,未激活
"Incl. Tax",含税
"Incoming Message",收到的信息
"Insert Variable...",插入变量...
"Interface Locale",接口本地化
Interval,周期
"Invalid Form Key. Please refresh the page.",来源密钥无效，请刷新本页面。
"Invalid data provided",无效的数据
"Invalid parent block for this block",该块的父块无效
"Invalid password reset token.",无效的密码重设令牌。
Invalidated,撤销
"Inventory Stock Status",盘点库存状态
"Invoice #%1 comment added",发票#%1的评论已添加
"Invoice #%1 created",发票#%1已创建
"Invoice History",发票历史
"Invoice Report",发票报表
"Invoice Totals",发票总数
"Invoiced Orders",已开票的订单
Invoices,发票
"Is Closed",已关闭
"Issue Number",问题编号
Items,条目
"JavaScript may be disabled in your browser.",您的浏览器可能禁止了Javascript
"JavaScript seems to be disabled in your browser.","你的浏览器似乎禁用了 JavaScript。"
JavaScript/CSS,JavaScript/CSS
"JavaScript/CSS Cache",JavaScript/CSS缓存
Kb,Kb
"Last 24 Hours",过去24小时
"Last 5 Orders",上五个订单
"Last 5 Search Terms",上五个搜索词
"Last 7 Days",上七天
"Last Credit Memo Created Date",上次信用记录创建日期
"Last Invoice Created Date",上一个发票创建日期
"Last Logged In (%1):",上次登录于（%1）：
"Last Logged In:",上次登录：
"Last Name",姓氏
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","上次更新：%1。为了刷新昨天的<a href=""%2"">统计</a>，点击<a href=""%3"">这里</a>。"
"Lifetime Sales",终生销售
Links,链接
"List (default) / Grid",列表（默认）/网格
"List Only",仅列表
"Load Template",加载模板
"Load default template",加载默认模板
Loading...,正在加载...
Locale,区域
"Log Out",注销
"Log into Magento Admin Page",登录到Magento管理页面
Login,登录
"Low Stock",库存量低
"Low Stock Report",低库存报表
"Magento Admin",Magento管理
"Magento Admin Panel",Magento管理面板
"Magento Connect",Magento内容
"Magento root directory","Magento 根目录"
"Magento ver. %1",Magento版本%1
"Manage Attribute Sets",管理属性集
"Manage Categories",管理分类
"Manage Currency Rates",管理汇率
"Manage Customers",管理顾客
"Manage Ratings",管理评级
"Manage Stores",管理店铺
"Manage Tax Rules",管理税务规则
Manual,手工
Marketing,市场
"Match Period To",匹配时期到
"Maximum Qty Discount is Applied To",最大数量折扣被应用到
"Maximum length must be less then %1 symbols",最大长度必须少于%1个符号
Mb,Mb
"Media (.avi, .flv, .swf)",多媒体（。avi、。flv、。swf）
"Messages Inbox",收件箱
Minute,分
Modified,修改的
Month,月
"Most Viewed",最受欢迎
"Most Viewed Products",最受关注商品
"Multiple Select",多选
"My Account",我的账户
N/A,N/A
Name,姓名
Name:,姓名：
"Never (production)",从未（生产）
"New ",新
"New Accounts",新账户
"New Accounts Report",新账户报表
"New Attribute",新属性
"New Block",新块
"New Cart Price Rule",新的购物车价格规则
"New Catalog Price Rule",新产品目录价格规则
"New Category",新分类
"New Condition",新条件
"New Custom Variable",新自定义变量
"New Customer",新顾客
"New Customers",新顾客
"New Email Template",新组
"New Group",新组
"New Invoice",新发票
"New Page",新页面
"New Password",新密码
"New Rating",新评级
"New Review",新评论
"New Role",新角色
"New Rule",新规则
"New Search",新搜索
"New Set",新集
"New Shipment",新运单
"New Sitemap",新站点结构图
"New Store Design Change",创建店铺设计
"New Store View",新店铺视图
"New System Template",新系统模板
"New Template",新模板
"New User",新用户
"New Web Site",新站点
"New password field cannot be empty.",新密码字段不能为空。
Newsletter,新闻邮件
"Newsletter Problems Report",新闻邮件问题报表
"Newsletter Queue",新闻邮件队列
"Newsletter Subscribers",新闻邮件订阅者
"Newsletter Templates",新闻邮件模板
No,否
"No (price without tax)",无（不含税价格）
"No Data Found",数据未找到
"No Templates Found",模板未找到
"No change",无变动
"No customer ID defined.",未定义的顾客ID。
"No information available.",无可用信息。
"No records found.",未找到记录。
"No report code is specified.",未指定报表代码。
"No search modules were registered",未注册搜索模块
"No wishlist item ID is defined.",已定义的收藏条目ID。
None,无
"Not Activated",未激活
Note:,注意：
Notes,注意
Notifications,通知
"Number of items bought from a wish list: %1","从收藏清单里购买的数量： %1"
"Number of times wish lists have been shared (emailed): %1",收藏清单里分享的次数（发邮件的）：%1
"Number of wish list conversions: %1","收藏清单转化数量： %1"
"Number of wish list referrals: %1","收藏清单导入的数量： %1"
"Number of wish lists: %1","收藏的数量： %1"
OK,确定
"Offline Refunds",离线的退款
"Old rate:",原本的比例：
"Online Customers",在线顾客
"Online Refunds",在线的退款
"Only Once (version upgrade)",仅一次（版本升级）
Optional,可选
Options,选项
Order,订单
"Order #%1 (%2)","订单 #%1（%2）"
"Order Count Report",订单数报表
"Order Created Date",订单创建日期
"Order ID","订单 ID"
"Order Total Report",订单总数报表
"Order Totals",订单总数
"Order Updated Date",订单更新日期
"Ordered Products Report",已订购产品报表
Orders,订单
"Other Settings",其他设置
"Out of stock",缺货
"PDT (Payment Data Transfer) Only",仅限PDT（支付数据传输）
"Package Extensions",包扩展
Pages,页面
"Paid Invoices",已经支付的发票
"Parent Product Thumbnail",父产品缩略图
"Parent Transaction ID",父交易ID
Password,密码
"Password Confirmation",密码确认
Password:,密码：
"Pending Reviews",挂起的评论
"Pending Reviews of Customer `%1`","待处理的顾客评论 `%1`"
"Per Item",每商品
"Per Order",每订单
Percent,百分之
"Permanent (301)",永久（301）
Permissions,权限
"Personal Information",个人信息
"Please Select",请选择
"Please confirm site switching. All data that hasn't been saved will be lost.",请确认网站参数。所有未保存数据都将丢失。
"Please correct the XML data and try again. %value%","请纠正XML然后再试一次。 %value%"
"Please correct the newsletter template and try again.",请纠正新闻邮件模板然后重试。
"Please correct the password.",请纠正密码。
"Please correct the quote items and try again.",请纠正报价条目再试一次。
"Please enter 6 or more characters.","请输入 6 个或更多个字符。"
"Please enter a number greater than 0 in this field.",请在该字段中输入大于0的数字。
"Please enter a password.",请输入密码。
"Please enter a valid URL (for example, the URL must begin with ""http://"").","请输入有效的URL（例如：URL必须以""http://""开头）。"
"Please enter a valid URL (for examples, http://www.example.com or www.example.com).","请输入有效的URL（例如：http://www.example.com or www.example.com）。"
"Please enter a valid credit card number.",请输入有效的信用卡卡号。
"Please enter a valid date.",请输入有效日期
"Please enter a valid dollar amount (for example, $100.00).",请输入有效的美元数量（如：$100。00）。
"Please enter a valid email address(for example johndoe@domain.com.).",请输入有效的邮件地址（例如：jondoe@domain.com）。
"Please enter a valid email address. For example johndoe@domain.com.",请输入有效邮件地址。例如johndoe@domain.com。
"Please enter a valid email.",请输入有效邮件。
"Please enter a valid number in this field.",请在此区域输入有效的数字。
"Please enter a valid password.",请输入有效的密码。
"Please enter a valid phone number (for example, (123) 456-7890 or 123-456-7890).","请输入有效的电话号码（例如：（123）456-7890 或者 123-456-7890）。"
"Please enter a valid social security number (for example, 123-45-6789).",请输入有效的社会保险号（例如：123-45-6789）。
"Please enter a valid social security number. For example 123-45-6789.",请输入有效社会安全号码，例如123-45-6789。
"Please enter a valid zip code (for example, 90602 or 90602-1234).",请输入有效的邮编（例如：90602或90602-1234）。
"Please enter a valid zip code.",请输入有效的邮政编码。
"Please enter a valid zip code. For example 90602 or 90602-1234.",请输入有效邮编，例如90602或90602-1234。
"Please enter new template name.",请输入新的模板名字。
"Please enter only letters (a-z) into this field.",请输入字母（a-z）。
"Please enter only letters (a-z), numbers (0-9), spaces and the ""#"" character into this field.","请输入字母（a-z）、数字（0-9）、空格和。""#""字符"
"Please enter only numbers (0-9) or letters (a-z) into this field.",请输入数字（0-9）或者字母（a-z）。
"Please enter only numbers (1-9) into this field. Do not use spaces, commas, or any other characters.",请输入数字（1-9）。不要使用空格、逗号或者其他任何字符。
"Please enter only numbers or letters into this field. Do not use spaces, commas, or any other characters.",请输入数字（0-9）或者字母（a-z），不要使用空格、逗号或者其他任何字符。
"Please enter the password to confirm rollback.",请输入密码来确认回滚。
"Please load the wish list item.",请装载收藏条目。
"Please make sure that all global admin search modules are installed and activated.",请确保所有全局管理员搜索模块已安装并已激活。
"Please make sure your passwords match.",请确保密码匹配。
"Please put your store into maintenance mode during backup.",在备份过程中请把您的店铺置成维护模式。
"Please put your store into maintenance mode during rollback processing.",在回滚过程中请把您的店铺置成维护模式。
"Please select State/Province.",请选择州/省。
"Please select a customer.",请选择一位顾客。
"Please select a store.",请选择一个店铺。
"Please select an option.",请选择一个选项。
"Please select catalog searches.",请选择产品目录搜索。
"Please select customer(s).",请选择顾客。
"Please select one of the above options.",请选择上列选项中的一个。
"Please select one of the options.",请选择下列一个选项。
"Please select one of these options.",请选择选项中的一个。
"Please select one or more subscribers.",请选择一个或多个订阅者。
"Please select review(s).",请选择评论。
"Please specify backup creation option.",请说明备份创建选项。
"Please specify the admin custom URL.",请指定管理用的自定义URL。
"Please try to log out and sign in again.",请尝试退出登录再次登录。
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.",请在该字段中只使用数字。请不要使用空格或其它字符，例如句点或逗号。
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.",在此字段内请仅使用字母（az或AZ）、数字（0-9）或空格。
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",请使用这样的日期格式：dd/mm/yyyy。例如17/03/2006代表2006年3月17日。
"Please use this date format: dd/mm/yyyy. For example, enter ""17/03/2006"" to represent March 17, 2006.","请使用如下日期格式： dd/mm/yyyy。 例如： 输入""17/03/2006""表示March 17， 2006。"
"Please wait until the action ends.",请等待操作结束。
"Please wait, loading...",请稍候，正在加载...
"Please wait...",请稍候...
"Position of Watermark for %1",%1的水印位置
"Pregenerated product images files",预产生图片文件
Preview,预览
"Preview Template",预览模板
Price,价格
Price:,价格：
Product,产品名
"Product Reviews",产品评论
"Product Reviews Report",产品评论报表
"Product Store Name",产品店铺名
"Product Thumbnail Itself",产品缩略图本身
"Product Views Report",产品浏览量报表
Product:,产品：
Products,产品
"Products Bestsellers Report",产品最佳销量报表
"Products Most Viewed Report",浏览最多产品报表
"Products Ordered",已订购产品
"Products in Carts",购物车中的产品
"Profile Information",配置文件信息
Promo,促销
Promotions,促销
"Purchase Date",购买日期
Purchased,购买的
"Purchased Item",已购买内容
Quantity,数量
"Queue Date Start",排队开始日期
"Queue Start Date",队列数据开始
"Queue Subject",队列主题
"Read details",阅读详情
Rebuild,重建
"Rebuild Catalog Index",重建产品目录索引
"Rebuild Flat Catalog Category",重建扁平产品目录类别
"Rebuild Flat Catalog Product",重建扁平目录产品
"Receive Date",接收日期
"Recent Orders",近期订单
"Recent statistics have been updated.",最近更新的统计信息。
Redirect,重定向
"Reference ID",参考ID
Refresh,刷新
"Refresh Statistics",刷新统计
"Refunded Orders",退款的订单
"Refunds Report",退款报表
Region/State,地区/州
"Regular Price:",常规价格：
"Relative to Web Site Base URL",相对的站点基础URL
Release,发布
"Release Stability",发行稳定性
"Release Version",发布版本
"Reload captcha",刷新验证码
Remove,删除
Reports,报表
"Request Path",请求路径
Required,必须
Reset,重置状态
"Reset Filter",重置筛选器
"Reset Password",重设密码
"Reset a Password",重置密码
"Reset to Default",重置到默认
"Resource Access",资源访问
Resources,资源
Results,结果
"Retrieve Password",找回密码
"Return Html Version",返回Html版本
Revenue,收入
Reviews,评论
"Reviews for %1",评论%1
"Role Info",角色信息
"Role Information",角色信息
"Role Name",角色名称
"Role Resources",角色资源
"Role Users",角色用户
Roles,角色
"Roles Resources",角色资源
"Rule Name",规则名
"SEO & Search",SEO和搜索
SKU,SKU
"SSL Error: Invalid or self-signed certificate",SSL错误：无效的或自签名的证书
Sales,销售
"Sales Report",销售报表
Samples,样本
Save,保存
"Save & Generate",保存并生成
"Save Account",保存账户
"Save Cache Settings",保存缓存设置
"Save Config",保存配置
"Save Currency Rates",保存汇率
"Save Role",保存角色
"Save Template",保存模板
"Save User",保存用户
"Save Web Site",存储站点
"Save and Continue Edit",保存并继续编辑
"Save and Next",存储并继续
"Save and Previous",存储并回退
Search,搜索
"Search Index",搜索索引
"Search Term",搜索词
"Search Terms",搜索词
"Search Terms Report",搜索词报表
Select,选择
"Select All",全选
"Select Category",选择分类
"Select Date",选择日期
"Select Range",选择范围
"Selected allowed currency ""%1"" is not available in installed currencies.","所选的允许币种 ""%1"" 不属于可使用币种。"
Sender,发送方
"Separate Email",单独的邮件
"Shipment #%1 comment added","运单 #%1添加了评论"
"Shipment #%1 created",运单#%1已创建
"Shipment Comments",运单评论
"Shipment History",运送历史
Shipments,发货
"Shipped-to Name",收货名字
Shipping,货运
"Shipping Address",送货地址
"Shipping Address: ",送货地址：
"Shipping Price",运费
"Shipping Report",货运报表
"Shopping Cart",购物车
"Shopping Cart - %1 item(s)",购物车-%1个条目（s）
"Shopping Cart Price Rule",购物车价格规则
"Shopping Cart Price Rules",购物车价格规则
"Shopping Cart from %1",%1的购物车
"Shopping Cart of %1 - %2 item(s)","%1 - %2个条目（s）的购物车"
"Show By",显示条件
"Show Report For:",显示报表：
"Show Reviews",显示评论
"Sign Out",退出
"Sitemap Information",站点结构图信息
"Size for %1",%1的大小
"Skip Category Selection",跳过分类的选择
"Something went wrong  while deleting this condition.",当删除条件时发生错误。
"Something went wrong creating the backup.",当创建备份时发生错误。
"Something went wrong while generating coupons. Please review the log and try again.",当产生优惠券时发生错误，请检查日志后再试。
"Something went wrong while saving the page.",当存储页面时发生错误。
"Something went wrong while saving this condition.",当存储条件时发生错误。
"Special Price:",特殊价格：
"Specific Countries",指定国家
Specified,已指定
"Start Date",开始日期
"Start date",开始日期
"Static Blocks",静态块
Status,状态
Status:,状态：
Store,商店
"Store Design",店铺设计
"Store Design Schedule",店铺设计计划
"Store Email Addresses Section",店铺邮件地址区域
"Store View",店铺视图
Stores,店铺
Subject,主题
Submit,提交
Subscribed,已订阅
"Subscribed to Newsletter",订阅新闻邮件
Subscriber,订阅者
Subtotal,小计
"Switch/Solo/Maestro Only","仅限 Switch/Solo/Maestro"
Synchronize,同步
"Synchronizing %1 to %2",同步%1到%2
Synchronizing...,正在同步...
System,系统
"System Section",系统区域
"Target Path",目标路径
Tax,传真
"Tax Report",税报表
Tb,Tb
Template,模板名称
"Template Content",模板内容
"Template Information",模板信息
"Template Styles",模板风格
"Template Subject",模板主题
"Template Type",模板类型
"Temporary (302)",临时（302）
"Terms and Conditions",条款和条件
Text,文字
"The Comment Text field cannot be empty.",该评论文本框不能为空。
"The JavaScript/CSS cache has been cleaned.",JavaScript/CSS缓存已清空。
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.",该订单更新的日期报表被实时显示，不需要刷新。
"The URL Rewrite has been deleted.","URL 重写已被删除。"
"The URL Rewrite has been saved.","URL 重写已保存。"
"The account has been saved.",账户已保存。
"The attribute set has been removed.",属性集已删除。
"The backup file was not found.",备份文件未找到。
"The condition has been deleted.",条件已经被成功存储。
"The credit memo has been canceled.",贷项凭单已被取消。
"The customer group no longer exists.",顾客组不在存在。
"The database was backed up.",数据库已备份。
"The email address is empty.",电子邮件地址为空。
"The email template has been deleted.",电子邮件模板已被删除。
"The email template has been saved.",邮件模板已保存。
"The file size should be more than 0 bytes.",文件尺寸应该大于零字节。
"The image cache was cleaned.",图片缓存已被清空。
"The invoice has been captured.",发票已被捕捉。
"The invoice has been created.",发票已创建。
"The invoice has been voided.",发票已作废。
"The invoice no longer exists.",清单不存在。
"The item %1 (SKU %2) does not exist in the catalog anymore.","条目%1（SKU %2）已不在该产品目录中。"
"The newsletter queue has been saved.",新闻邮件队列已经被成功存储。
"The newsletter template has been deleted.",新闻邮件模板已经被成功删除。
"The newsletter template has been saved.",新闻邮件模板已经被成功存储。
