Custom,Zelfgekozen
"View Demo","Bekijk Demo"
"See terms","See terms"
"You will be redirected to the PayPal website.","U zult doorverwezen worden naar de PayPal website."
"Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?","Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?"
"You will be redirected to the PayPal website when you place an order.","U wordt door verwezen naar de PayPal website wanneer u een bestelling plaatst."
"Click here if you are not redirected within 10 seconds.","Click here if you are not redirected within 10 seconds."
"You will be redirected to the PayPal website in a few seconds.","U zult binnen enkele seconden naar de PayPal website worden geleid."
"You canceled the billing agreement.","You canceled the billing agreement."
"We could not cancel the billing agreement.","We could not cancel the billing agreement."
"You deleted the billing agreement.","You deleted the billing agreement."
"We could not delete the billing agreement.","We could not delete the billing agreement."
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again."
"View Transaction","Transactie bekijken"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from '%2@%3'.","We fetched %1 report rows from '%2@%3'."
"We couldn't fetch reports from '%1@%2'.","We couldn't fetch reports from '%1@%2'."
"Billing Agreement # %1","Billing Agreement # %1"
"We couldn't start the billing agreement wizard.","We couldn't start the billing agreement wizard."
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"The billing agreement ""%1"" has been canceled.","The billing agreement ""%1"" has been canceled."
"We couldn't cancel the billing agreement.","We couldn't cancel the billing agreement."
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"We can't start Express Checkout.","We can't start Express Checkout."
"Express Checkout and Order have been canceled.","Express Checkout en bestelling zijn geannuleerd."
"Express Checkout has been canceled.","Express Checkout is geannuleerd."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","We can't update shipping method."
"We can't place the order.","We can't place the order."
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express Afrekenen Teken bestaan niet."
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"PayPal response hasn't required fields.","Antwoord van PayPal bevat de vereiste velden niet."
"Something went wrong while processing your order.","Something went wrong while processing your order."
"PayPal gateway has rejected request. %1","PayPal gateway has rejected request. %1"
"PayPal gateway rejected the request. %1","PayPal gateway rejected the request. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you."
"The payment method code is not set.","The payment method code is not set."
"The reference ID is not set.","The reference ID is not set."
"Unable to save Billing Agreement:","Niet mogelijk om Betalingsovereenkomst op te slaan:"
"The customer ID is not set.","The customer ID is not set."
"The Billing Agreement status is not set.","The Billing Agreement status is not set."
"The PayPal certificate does not exist.","The PayPal certificate does not exist."
"We prefer PayPal (150 X 60)","Paypal heeft onze voorkeur (150 X 60)"
"We prefer PayPal (150 X 40)","PayPal heeft onze voorkeur (150 X 40)"
"Now accepting PayPal (150 X 60)","Accepteert nu PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Accepteert nu PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Betalingen door PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Betalingen door PayPal (150 X 40)"
"Shop now using (150 X 60)","Winkel nu met (150 X 60)"
"Shop now using (150 X 40)","Winkel nu met (150 X 40)"
Shortcut,Snelkoppeling
"Acceptance Mark Image","Acceptatie Stempel Afbeelding"
Sale,Verkoop
"For Virtual Quotes Only","Alleen Voor Virtuele Prijsopgaves"
Auto,Auto
"Ask Customer","Vraag een Klant"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"API Signature","API Handtekening"
"API Certificate","API Certificaat"
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","The authorized amount is %1."
"The maximum number of child authorizations is reached.","Het maximale aantal kindmachtigingen is bereikt."
"PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process."
"Payer is not identified.","Betaler is niet geïdentificeerd."
"Last Transaction ID","Laatste Transactie ID"
"This customer did not include a confirmed address.","This customer did not include a confirmed address."
"The payment is authorized but not settled.","De betaling is gemachtigd, maar niet afgehandeld."
"The payment eCheck is not yet cleared.","De betalings eCheck is nog niet vrijgegeven."
"The merchant holds a non-U.S. account and does not have a withdrawal mechanism.","The merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"The payment currency does not match any of the merchant's balances currency.","The payment currency does not match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.","De betaling staat in de wacht, terwijl deze beoordeeld wordt op risico door PayPal."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","De betaling staat in de wacht omdat deze aangemaakt is met een emailadres dat nog niet geregistreerd of bevestigd is."
"The merchant account is not yet verified.","De handelsaccount is nog niet geverifieerd."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","De betaling werd gemaakt via creditcard. Om de gelden te ontvangen, moet de handelaar de account upgraden naar Business of Premier status."
"Sorry, but something went wrong. Please contact PayPal customer service.","Sorry, but something went wrong. Please contact PayPal customer service."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.","Omzetting van een aanpassing"
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.","Vergoeding voor een terugboeking"
"Settlement of a chargeback.","Regeling van een terugboeking."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.","Onbekende oorzaak. Neem alstublieft contact op met de klantendienst van PayPal."
"Payer ID","Betaler ID"
"Payer Email","Betaler Email"
"Payer Status","Betaler Status"
"Payer Address ID","Betaler Adres ID"
"Payer Address Status","Betaler Adres Status"
"Merchant Protection Eligibility","In aanmerking komen voor handelaar bescherming"
"Triggered Fraud Filters","Fraudeur Filters Getriggerd"
"Last Correlation ID","Laatste Correlatie ID"
"Address Verification System Response","Adres Verificatie Systeem Antwoord"
"CVV2 Check Result by PayPal","CVV2 Controle Resultaat van PayPal"
"Buyer's Tax ID","Kopers Belastings ID"
"Buyer's Tax ID Type","Koper 's Belastings ID Type"
Chargeback,Terugboeking
Complaint,Complaint
Dispute,Dispute
"Matched Address only (no ZIP)","Alleen Adres komt overeen (geen ZIP)"
"Matched Address only (no ZIP) International","Matched Address only (no ZIP) International"
"No Details matched","Geen Details kwamen overeen"
"No Details matched. International","Geen Details kwamen overeen. Internationaal"
"Exact Match. Address and nine-digit ZIP code","Exacte overeenkomst. Adres en negencijferige ZIP code"
"Exact Match. Address and Postal Code. International","Exacte overeenkomst. Adres en postcode. Internationaal"
"Exact Match. Address and Postal Code. UK-specific","Exacte overeenkomst. Adres en postcode. Specifiek voor Verenigd Koninkrijk"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","n.v.t. Niet toegestaan voor MOTO (Internet/Telefoon) overboekingen"
"N/A. Global Unavailable","n.v.t. Globaal Onbeschikbaar"
"N/A. International Unavailable","n.v.t. Internationaal Onbeschikbaar"
"Matched five-digit ZIP only (no Address)","Alleen 5-getal ZIP code komt overeen (geen Adres)"
"Matched Postal Code only (no Address)","Alleen Post Code komt overeen (geen Adres)"
"N/A. Retry","n.v.t. Probeer opnieuw"
"N/A. Service not Supported","n.v.t. Service niet ondersteund"
"N/A. Unavailable","n.v.t. Niet beschikbaar"
"Matched whole nine-didgit ZIP (no Address)","Gehele 9-cijferige ZIP code komt overeen (geen Adres)"
"Yes. Matched Address and five-didgit ZIP","Ja. Het adres en de 5-cijferige ZIP code komen overeen"
"All the address information matched","Al de adres komt overeen"
"None of the address information matched","Geen van de adres informatie kwam overeen"
"Part of the address information matched","Deel van de adresinformatie komt overeen"
"N/A. The merchant did not provide AVS information","n.v.t. De handelaar heeft geen AVS informatie overhandigd"
"N/A. Address not checked, or acquirer had no response. Service not available","n.v.t. Adres niet gecontroleerd of verkrijger had geen reactie. Service niet beschikbaar"
"Matched (CVV2CSC)","Komt over een (CVV2CSC)"
"No match","Geen overeenkomst"
"N/A. Not processed","n.v.t. Niet verwerkt"
"N/A. Service not supported","N/A. Dienst niet ondersteund."
"N/A. Service not available","n.v.t. Service niet beschikbaar"
"N/A. No response","n.v.t. Geen reactie"
"Matched (CVV2)","Komt over een (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","n.v.t. De handelaar heeft geen CVV2 code verwerking ingevoerd"
"N/A. Merchant has indicated that CVV2 is not present on card","n.v.t. Handelaar heeft aangegeven dat CVV2 niet aanwezig is op de kaart"
"Authenticated, Good Result","Geverifieerd, Goed Resultaat"
"Authenticated, Bad Result","Geverifieerd, Slecht Resultaat"
"Attempted Authentication, Good Result","Poging tot Autorisatie, Goed Resultaat"
"Attempted Authentication, Bad Result","Poging tot Autorisatie, Slecht Resultaat"
"No Liability Shift","Geen Aansprakelijkheid Verschuiving"
"Issuer Liability","Uitgever Verantwoordelijkheid"
CNPJ,CNPJ
CPF,CPF
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","You notified customer about creditmemo #%1."
"Created billing agreement #%1.","Created billing agreement #%1."
"We couldn't create a billing agreement for this order.","We couldn't create a billing agreement for this order."
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Fetch transaction details method does not exists in Payflow","Fetch transaction details method does not exists in Payflow"
"We cannot send the new order email.","We cannot send the new order email."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"Payment transactions disallow storing objects.","Betalingstransacties staan het opslaan van objecten niet toe."
"You need to enter a transaction ID.","You need to enter a transaction ID."
"This operation requires an existing transaction object.","Deze operatie vereist een bestaand transactie object."
"You need an authorization transaction to void.","You need an authorization transaction to void."
"We can't issue a refund transaction because there is no capture transaction.","We can't issue a refund transaction because there is no capture transaction."
"We cannot create a target file for reading reports.","We cannot create a target file for reading reports."
"Report Date","Datum bericht"
"Merchant Account","Handelaar Account"
"Transaction ID","Transactie ID"
"Invoice ID","Factuur ID"
"PayPal Reference ID","PayPal referentie ID"
"PayPal Reference ID Type","PayPal referentie ID type"
"Event Code","Gebeurtenis code"
"Finish Date","Finish Date"
"Debit or Credit","Debet of Credit"
"Gross Amount",Brutobedrag
"Fee Debit or Credit","Kosten betaalrekening of creditcard"
"Fee Amount","Kosten bedrag"
"Order ID","ID Bestelling"
"Subscription ID","Abonnement ID"
"Preapproved Payment ID","Vooraf goedgekeurde Betaling ID"
Credit,Krediet
Debit,Debet
"General: received payment of a type not belonging to the other T00xx categories","Algemeen: betaling ontvangen van een type dat niet behoort tot de andere T00xx categorieën"
"Mass Pay Payment",Bulkbetaling
"Subscription Payment, either payment sent or payment received","Abonnementsbetaling, betaling verzonden of betaling ontvangen"
"Preapproved Payment (BillUser API), either sent or received","Vooraf goedgekeurde Betaling (RekeningGebruiker API), verzonden of ontvangen"
"eBay Auction Payment","eBay veiling betaling"
"Direct Payment API","Directe Betaling API"
"Express Checkout APIs","Versneld afrekenen APIs"
"Website Payments Standard Payment","Website Betalingen Standaard Betaling"
"Postage Payment to either USPS or UPS","Porto betaling aan USPS dan wel UPS"
"Gift Certificate Payment: purchase of Gift Certificate","Geschenkcertificaat Betaling: aankoop van Geschenkcertificaat"
"Auction Payment other than through eBay","Veiling Betaling anders dan via eBay"
"Mobile Payment (made via a mobile phone)","Mobiele Betaling (betaling via een mobiele telefoon)"
"Virtual Terminal Payment","Virtuele Laatste Betaling"
"General: non-payment fee of a type not belonging to the other T01xx categories","Algemeen: niet-betalingsvergoeding van een type dat niet behoort tot de andere T01xx categorieën"
"Fee: Web Site Payments Pro Account Monthly","Kosten: betalingen website pro account per maand"
"Fee: Foreign ACH Withdrawal","Kosten: buitenlandse ACH opname"
"Fee: WorldLink Check Withdrawal","Kosten: WereldLink check opname"
"Fee: Mass Pay Request","Kosten: massaal betalingsverzoek"
"General Currency Conversion","Algemene Valuta Omzetting"
"User-initiated Currency Conversion","Gebruiker-geïnitieerde munteenheid conversie"
"Currency Conversion required to cover negative balance","Valuta Conversie nodig om het negatieve balans te dekken"
"General Funding of PayPal Account ","Algemene Financiering van PayPal Account"
"PayPal Balance Manager function of PayPal account","PayPal Balansbeheerder functie van PayPal account"
"ACH Funding for Funds Recovery from Account Balance","ACH Financiering voor fondsen herstel op het account balans"
"EFT Funding (German banking)","EFT fondsen (Duits bankieren)"
"General Withdrawal from PayPal Account","Algemene Opname van PayPal Account"
AutoSweep,AutomatischOpschonen
"General: Use of PayPal account for purchasing as well as receiving payments","Algemeen: Gebruik van PayPal account voor zowel aankopen als ontvangen van betalingen"
"Virtual PayPal Debit Card Transaction","Virtuele Paypal Debitcard Transactie"
"PayPal Debit Card Withdrawal from ATM","PayPal betaalkaart geld pinnen"
"Hidden Virtual PayPal Debit Card Transaction","Verborgen Virtuele PayPal Debitcard Transactie"
"PayPal Debit Card Cash Advance","PayPal betaalkaart kas voorschot"
"General: Withdrawal from PayPal Account","Algemeen: Opname van PayPal Account"
"General (Purchase with a credit card)","Algemeen (Aankoop met een creditcard)"
"Negative Balance","Negatief Balans"
"General: bonus of a type not belonging to the other T08xx categories","Algemeen: bonus van een type dat niet behoort tot de andere T08xx categorieën"
"Debit Card Cash Back","Debetkaart Geld Terug"
"Merchant Referral Bonus","Handelaar Doorverwijzing Bonus"
"Balance Manager Account Bonus","Balans Beheerder Account Bonus"
"PayPal Buyer Warranty Bonus","PayPal koper garantie bonus"
"PayPal Protection Bonus","PayPal beschermingsbonus"
"Bonus for first ACH Use","Bonus voor eerste ACH gebruik"
"General Redemption","Algemene Afschrijving"
"Gift Certificate Redemption","Geschenkcertificaat Inlossen"
"Points Incentive Redemption","Punten Incentive Aflossing"
"Coupon Redemption","Waardebon Inleveren"
"Reward Voucher Redemption","Beloning Voucher Aflossing"
"General. Product no longer supported","Algemeen. Product niet langer ondersteund"
"General: reversal of a type not belonging to the other T11xx categories","Algemeen: omkering van een type dat niet behoort tot de andere T11xx categorieën"
"ACH Withdrawal","ACH Opname"
"Debit Card Transaction","Debetkaart Transactie"
"Reversal of Points Usage","Omzetting van Puntengebruik"
"ACH Deposit (Reversal)","ACH Storting (Herroeping)"
"Reversal of General Account Hold","Omzetting van Algemene Rekening Houder"
"Account-to-Account Payment, initiated by PayPal","Account-naar-Account Betaling, gestart door PayPal"
"Payment Refund initiated by merchant","Betalingsterugstorting gestart door handelaar"
"Fee Reversal","Omkeren kosten"
"Hold for Dispute Investigation","Wacht op Onderzoek naar Geschil"
"Reversal of hold for Dispute Investigation","Aanpassing van houder voor onderzoek naar dispuut"
"General: adjustment of a type not belonging to the other T12xx categories","Algemeen: aanpassing van een type dat niet behoort tot de andere T12xx categorieën"
Reversal,Omzetting
Charge-off,Afschrijving
Incentive,Prikkel
"Reimbursement of Chargeback","Vergoeding van een terugboeking"
"General (Authorization)","Algemeen (Machtiging)"
Reauthorization,"Nieuwe autorisatie"
Void,Geldig
"General (Dividend)","Algemeen (Dividend)"
"General: temporary hold of a type not belonging to the other T15xx categories","Algemeen: tijdelijke blokkering van een type dat niet behoort tot de andere T15xx categorieën"
"Open Authorization","Open authorisatie"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Storting (Wordt gehouden ingeval van dispuut of een ander onderzoek)"
"Available Balance","Beschikbaar Balans"
Funding,Financiering
"General: Withdrawal to Non-Bank Entity","Algemeen: Opname naar Niet-Bancaire Entiteit"
"WorldLink Withdrawal","WorldLink Opname"
"Buyer Credit Payment","Koper krediet betaling"
"General Adjustment without businessrelated event","Algemene Aanpassing zonder zakengerelateerde gebeurtenis"
"General (Funds Transfer from PayPal Account to Another)","Algemeen (Geldmiddelen Overplaatsen van een PayPal Account naar een Andere)"
"Settlement Consolidation","Overeenkomst consolidatie"
"General: event not yet categorized","Algemeen: gebeurtenis nog niet gecategoriseerd"
"The PayPal certificate file is empty.","The PayPal certificate file is empty."
"Header (center)","Header (center)"
"Sidebar (right)","Sidebar (right)"
"Near PayPal Credit checkout button","Near PayPal Credit checkout button"
"Every 3 days","Iedere 3 dagen"
"Every 7 days","Iedere 7 dagen"
"Every 10 days","Iedere 10 dagen"
"Every 14 days","Iedere 14 dagen"
"Every 30 days","Iedere 30 dagen"
"Every 40 days","Iedere 40 dagen"
"No Logo","Geen Logo"
"Pending PayPal","In afwachting van PayPal"
"Billing Agreement",Factuurovereenkomst
"Created At","Created At"
"Updated At","Updated At"
"-- Please Select Billing Agreement--","-- Selecteer a.u.b. rekeningovereenkomst --"
"Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more."
"Important: ","Important: "
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Agreement Information","Agreement Information"
"Reference ID:","Reference ID:"
Status:,Status:
Created:,Created:
Updated:,Updated:
"Payment Method:","Payment Method:"
"Ship To","Ship To"
"Back to Billing Agreements","Terug naar Factureringsovereenkomsten"
"There are no billing agreements yet.","Er zijn nog geen facturatieovereenkomsten."
"New Billing Agreement","Nieuwe factuurovereenkomst"
"You will be redirected to the payment system website.","You will be redirected to the payment system website."
Create...,Create...
"Your billing agreement # is: %1.","Your billing agreement # is: %1."
"Review Order","Overzicht van de bestelling"
"Please select a shipping method...","Selecteer een methode van verzending..."
"Update Shipping Method","Update Shipping Method"
"Edit Payment Information","Edit Payment Information"
"Items in Your Shopping Cart","Artikelen in Uw Winkelwagen"
"Edit Shopping Cart","Bewerken winkelmandje"
"Please update order data to get shipping methods and rates","Update alstublieft de bestellings gegevens om verzendings methodes en tarieven te krijgen"
"Checkout with PayPal","Checkout met PayPal"
"Please do not refresh the page until you complete payment.","Ververs alstublieft niet de pagina totdat de betaling is voltooid."
"You will be required to enter your payment details after you place an order.","U zult uw betalingsdetails moeten invoeren na het plaatsen van een bestelling."
"Additional Options","Meer Opties"
"Acceptance Mark","Acceptatie Stempel"
"What is PayPal?","Wat is PayPal?"
"Sign a billing agreement to streamline further purchases with PayPal.","Teken een betaalovereenkomst om toekomstige aankopen met PayPal te stroomlijnen."
Schedule,Schedule
Size,Size
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"Test Mode","Test Mode"
"Payment Action","Payment Action"
"3D Secure","3D Secure"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Debug Mode","Debug Mode"
"Sandbox Mode","Sandbox Mode"
1,1
"Merchant Location","Merchant Location"
"Merchant Country","Merchant Country"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (Includes Express Checkout)"
"Accept payments with a completely customizable checkout.","Accept payments with a completely customizable checkout."
"Required PayPal Settings","Required PayPal Settings"
"Website Payments Pro and Express Checkout","Website Payments Pro and Express Checkout"
"Enable this Solution","Enable this Solution"
"Advertise PayPal Credit","Advertise PayPal Credit"
"
                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        ","
                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        "
"Home Page","Home Page"
"Catalog Category Page","Catalog Category Page"
"Catalog Product Page","Catalog Product Page"
"Checkout Cart Page","Checkout Cart Page"
"Basic Settings - PayPal Website Payments Pro","Basic Settings - PayPal Website Payments Pro"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","It is recommended to set this value to ""Debit or Credit Card"" per store views."
"Credit Card Settings","Credit Card Settings"
"Allowed Credit Card Types","Allowed Credit Card Types"
"
                            3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                        ","
                            3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                        "
"Payment Applicable From","Payment Applicable From"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Enable SSL verification","Enable SSL verification"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Require CVV Entry","Require CVV Entry"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"PayPal Billing Agreement Settings","PayPal Billing Agreement Settings"
"Settlement Report Settings","Settlement Report Settings"
"Frontend Experience Settings","Frontend Experience Settings"
"Basic Settings - PayPal Express Checkout","Basic Settings - PayPal Express Checkout"
"Website Payments Standard","Website Payments Standard"
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely."
